'25','05-10-2018 12:39:25','19','nl','05-10-2018 12:19:30','05-10-2018 12:39:25','1','21.30','2','2','2','39.0000000000','4','1','2','2','1','4','6','1','1','6','1','2','5','1','1','1','A1','A1','A1','A1','A1','A1',,'A1','A1','A1','A1','A1','A1','5','1','1','5','2','2','A2','A4','A3','A3','A4','A4','A5','A5','A3','A6','A3','A1','A2','A5','A7','A2','A2','A4','A6','A6','A6','A6','A6','A3','A3','A6','A4','A7','A7','A4','A6','A3','A1','A3','A1','A3','A1','A3','A1','A1','A4','A3','A1','A1','A1','A1','A5','A5','A4','A5','A4','A3','A3','A5','1','7','5','6','2','3','4','1','4','4','4','2','2','2','1','3','3',,
'26',,,'nl','05-10-2018 16:10:44','05-10-2018 16:10:44',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'27',,,'nl','05-10-2018 16:25:00','05-10-2018 16:25:00',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'28','06-10-2018 08:48:57','19','nl','06-10-2018 08:46:10','06-10-2018 08:48:57','1','22u30','1','5','3','32.0000000000','13','2','2','2','1','5','4','4','4','6','3','6','3','5','3','4',,'A5','A3','A6',,,,'A3','A6','A2','A4','A6','A3','5','3','5','3','4','3','A5','A4','A3','A5','A3','A3','A5','A3','A5','A3','A4','A5','A5','A4','A3','A4','A5','A6','A7',,'A5','A4','A3','A4','A5',,'A6','A5','A4','A3','A5','A5','A4','A3','A4','A5','A4','A5','A3','A5','A3','A5','A4','A5','A4',,'A3','A4',,'A5','A6','A7',,'A4','4','3','4','3','5','4','3','4','3','5','3','5','3','5','4','3','5',,
'29','06-10-2018 08:51:53','19','nl','06-10-2018 08:49:10','06-10-2018 08:51:53','1','22u','1','3','2','27.0000000000','6','1','1','2','2','5','1','6','3','4','3','5','3','5','3','5','A4','A3','A5','A3','A5','A3','A5','A3','A5','A3','A5','A3','A5','5','4','5','4','5','3','A5','A4','A3','A4','A5','A4','A3','A5','A3','A5','A3','A5','A4','A3','A5','A3','A5','A3','A5','A4','A3','A5','A3','A5','A3','A5','A3','A5','A3','A4','A3','A5','A4','A3','A4','A5','A3','A5','A3','A5','A3','A5','A3','A3','A5','A3','A5','A3','A5','A3','A5','A3','A5','A3','5','4','3','5','3','5','4','3','5','3','5','3','5','3','5','3','5',,
'30',,'0','nl','06-10-2018 08:51:57','06-10-2018 08:51:57',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'31',,,'nl','06-10-2018 11:30:16','06-10-2018 11:30:16',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'32',,,'nl','06-10-2018 16:06:34','06-10-2018 16:06:34',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'33',,,'nl','06-10-2018 18:26:39','06-10-2018 18:26:39',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'34',,,'nl','06-10-2018 20:52:50','06-10-2018 20:52:50',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'35',,,'nl','06-10-2018 21:58:36','06-10-2018 21:58:36',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'36','07-10-2018 14:11:44','19','nl','07-10-2018 12:46:11','07-10-2018 14:11:44','1','23:45','2','7','3','49.0000000000','14','1','1','2','1','7','7','4','4','7','6','5','7','5','4','1','A4','A4','A4','A4','A4','A5','A1','A1','A1','A1','A4','A4','A6','7','4','7','7','7','7','A7','A7','A7','A5','A5','A4','A4','A5','A3','A7','A2','A2','A5','A5','A7','A7','A7','A7','A7','A4','A4','A7','A3','A2','A2','A7','A7','A7','A2','A2','A7','A2','A1','A2','A1','A3','A1','A3','A1','A3','A1','A3','A1','A4','A4','A4','A4','A5','A5','A4','A4','A6','A6','A4','5','4','6','6','4','4','5','7','1','1','1','7','7','4','1','7','6',,
'37',,,'nl','07-10-2018 13:52:59','07-10-2018 13:52:59',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'38','07-10-2018 14:37:12','19','nl','07-10-2018 14:33:01','07-10-2018 14:37:12','1','22:45','2','7','2','42.0000000000','14','1','1','2','1','7','7','4','7','7','7','7','7','4','7','7','A4','A4','A4','A4','A3','A5','A5','A4','A4','A4','A5','A6','A6','7','4','7','7','7','7','A7','A7','A7','A7','A7','A4','A4','A4','A3','A3','A3','A3','A5','A5','A7','A7','A3','A4','A7','A4','A4','A4','A4','A4','A5','A7','A7','A7','A7','A7','A7','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A1','A2','A2','A3','A2','A3','A3','A4','A4','A4','A4','A4','4','1','2','4','4','4','4','4','4','4','4','4','4','4','4','4','4',,
'39',,,'nl','07-10-2018 17:06:55','07-10-2018 17:06:55',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'40',,,'nl','07-10-2018 17:07:24','07-10-2018 17:07:24',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'41',,,'nl','07-10-2018 17:07:26','07-10-2018 17:07:26',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'42',,,'nl','07-10-2018 18:52:52','07-10-2018 18:52:52',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
